Deck Type,Conc Type,Total,Topping,Deck Gage,1Span,2Span,3Span,Concrete + Deck (psf),4ft,5ft,6ft,7ft,8ft,9ft,10ft,11ft,12ft,13ft,14ft,15ft,16ft,Design,Deck Weight (psf)
2,NW,5.5,3.5,18,9.33,11.08,11.5,56.9,1116,1116,1116,805,603,464,365,292,236,193,158,0,0,2VL18 GA w/ 3.5in NWC,2.5
2,NW,5.5,3.5,16,10.08,12.67,12.08,57.6,1379,1379,1379,998,750,581,459,369,301,248,206,0,0,2VL16 GA w/ 3.5in NWC,3.2
2,NW,6.5,4.5,22,6.42,7.33,7.58,68.1,910,910,910,650,482,366,284,223,176,140,111,0,0,2VL22 GA w/ 4.5in NWC,1.6
2,NW,6.5,4.5,20,7.67,8.5,8.75,68.4,1099,1099,1099,789,588,450,352,279,223,180,146,0,0,2VL20 GA w/ 4.5in NWC,1.9
2,NW,6.5,4.5,19,8.42,9.5,9.83,68.7,1274,1274,1274,918,687,528,415,331,267,217,178,0,0,2VL19 GA w/ 4.5in NWC,2.2
2,NW,6.5,4.5,18,8.75,10.33,10.67,69,1435,1435,1435,1036,777,599,472,378,307,251,207,0,0,2VL18 GA w/ 4.5in NWC,2.5
2,NW,6.5,4.5,16,9.5,11.75,11.58,69.7,1688,1688,1688,1222,919,711,563,453,369,304,253,0,0,2VL16 GA w/ 4.5in NWC,3.2
2,LW,4,2,22,8.58,9.92,10.17,29.1,483,483,483,347,259,190,139,104,80,63,50,0,0,2VL22 GA w/ 2in LWC,1.6
2,LW,4,2,20,10.42,11.33,11.75,29.4,575,575,575,414,293,205,150,112,86,68,54,0,0,2VL20 GA w/ 2in LWC,1.9
2,LW,4,2,19,11.08,12.67,13,29.7,659,659,659,466,312,219,159,120,92,72,58,0,0,2VL19 GA w/ 2in LWC,2.2
2,LW,4,2,18,11.42,13.75,13.42,30,735,735,735,491,329,231,168,126,97,76,61,0,0,2VL18 GA w/ 2in LWC,2.5
2,LW,4,2,16,12.08,15,14.17,30.7,860,860,860,542,363,255,185,139,107,84,67,0,0,2VL16 GA w/ 2in LWC,3.2
2,LW,4.5,2.5,22,8.25,9.5,9.75,33.7,552,552,552,396,295,226,177,140,112,88,70,0,0,2VL22 GA w/ 2.5in LWC,1.6
2,LW,4.5,2.5,20,9.92,10.92,11.25,34,658,658,658,474,355,273,208,156,120,95,76,0,0,2VL20 GA w/ 2.5in LWC,1.9
2,LW,4.5,2.5,19,10.58,12.17,12.58,34.3,755,755,755,545,409,304,222,166,128,101,80,0,0,2VL19 GA w/ 2.5in LWC,2.2
2,LW,4.5,2.5,18,11,13.25,13,34.6,843,843,843,610,456,320,233,175,135,106,85,0,0,2VL18 GA w/ 2.5in LWC,2.5
2,LW,4.5,2.5,16,11.67,14.5,13.67,35.3,1029,1029,1029,747,503,353,257,193,149,117,93,0,0,2VL16 GA w/ 2.5in LWC,3.2
2,LW,5.25,3.25,22,7.75,8.92,9.17,40.6,660,660,660,474,353,271,211,168,134,108,88,0,0,2VL22 GA w/ 3.25in LWC,1.6
2,LW,5.25,3.25,20,9.33,10.25,10.58,40.9,789,789,789,569,426,328,258,206,166,136,111,0,0,2VL20 GA w/ 3.25in LWC,1.9
2,LW,5.25,3.25,19,10,11.5,11.83,41.2,908,908,908,656,492,380,300,241,196,156,125,0,0,2VL19 GA w/ 3.25in LWC,2.2
2,LW,5.25,3.25,18,10.42,12.5,12.42,41.5,1016,1016,1016,735,553,428,339,271,209,164,131,0,0,2VL18 GA w/ 3.25in LWC,2.5
2,LW,5.25,3.25,16,11.17,13.92,13.08,42.2,1244,1244,1244,903,681,529,397,298,229,180,144,0,0,2VL16 GA w/ 3.25in LWC,3.2
3,NW,5,2,22,10,10.75,11.08,44,389,389,389,389,389,298,233,185,148,120,97,79,64,3VL22 GA w/ 2in NWC,1.7
3,NW,5,2,20,11.75,12.5,12.92,44.4,471,471,471,471,471,363,285,228,184,150,124,102,84,3VL20 GA w/ 2in NWC,2.1
3,NW,5,2,19,12.25,13.92,14.42,44.7,546,546,546,546,546,422,333,267,214,168,135,109,90,3VL19 GA w/ 2in NWC,2.4
3,NW,5,2,18,12.67,15.17,14.83,45,615,615,615,615,615,476,377,291,224,176,141,115,94,3VL18 GA w/ 2in NWC,2.7
